,0,1,2,3
ADAD2,84224819,84224819,+,chr16
OSGIN1,83986845,83986845,+,chr16
IRF8,85932768,85932768,+,chr16
RHOT2,718132,718132,+,chr16
RPL3L,2004690,2004690,-,chr16
ZSCAN32,3450998,3450998,-,chr16
RPS2,2014827,2014827,-,chr16
NDUFB10,2009541,2009541,+,chr16
PDPK1,2588022,2588022,+,chr16
TIGD7,3355430,3355430,-,chr16
DEF8,90015187,90015187,+,chr16
TCF25,89940024,89940024,+,chr16
GALNS,88923351,88923351,-,chr16
GAS8,90089101,90089101,+,chr16
MED9,17380314,17380314,+,chr17
NCOR1,16118848,16118848,-,chr17
COPS3,17184560,17184560,-,chr17
GID4,17942722,17942722,+,chr17
ZNF287,16472518,16472518,-,chr17
MYOCD,12569207,12569207,+,chr17
KSR1,25783474,25783474,+,chr17
CIRH1A,69166552,69166552,+,chr16
RANBP10,67840463,67840463,-,chr16
CTRL,67965765,67965765,-,chr16
DPEP3,68014402,68014402,-,chr16
GFOD2,67753219,67753219,-,chr16
NOB1,69788827,69788827,-,chr16
PRPSAP2,18761444,18761444,+,chr17
UNC45B,33474836,33474836,+,chr17
PCTP,53828442,53828442,+,chr17
OR4D1,56232494,56232494,+,chr17
TOM1L1,52978214,52978214,+,chr17
KIF2B,51900288,51900288,+,chr17
C17orf80,71228597,71228597,+,chr17
TOB1,48943715,48943715,-,chr17
VPS53,618076,618076,-,chr17
SPATA22,3375113,3375113,-,chr17
SGSM2,2240795,2240795,+,chr17
NPEPPS,45608475,45608475,+,chr17
SKAP1,46507576,46507576,-,chr17
LRRC46,45909055,45909055,+,chr17
SCRN2,45918627,45918627,-,chr17
SSH2,28257246,28257246,-,chr17
RHBDL3,30592851,30592851,+,chr17
SPACA3,31318902,31318902,+,chr17
ARSG,66287649,66287649,+,chr17
ABCA8,66951513,66951513,-,chr17
G6PC3,42148280,42148280,+,chr17
CLTC,57697266,57697266,+,chr17
C17orf64,58469915,58469915,+,chr17
BCAS3,58755231,58755231,+,chr17
PTRH2,57784791,57784791,-,chr17
SS18,23670577,23670577,-,chr18
TAF4B,23806409,23806409,+,chr18
AFG3L2,12377208,12377208,-,chr18
PRELID3A,12407947,12407947,+,chr18
IMPA2,11981507,11981507,+,chr18
GNAL,11689289,11689289,+,chr18
SLC39A6,33709300,33709300,-,chr18
RPRD1A,33647520,33647520,-,chr18
C18orf21,33552642,33552642,+,chr18
GALNT1,33161704,33161704,+,chr18
ASXL3,31158223,31158223,+,chr18
ADCYAP1,904957,904957,+,chr18
MEP1B,29770002,29770002,+,chr18
SLC25A52,29340843,29340843,-,chr18
GAREM,30050845,30050845,-,chr18
ESCO1,19180665,19180665,-,chr18
OSBPL1A,21977788,21977788,-,chr18
GATA6,19749550,19749550,+,chr18
GREB1L,18822193,18822193,+,chr18
C18orf8,21083475,21083475,+,chr18
PELP1,4607432,4607432,-,chr17
NPC1,21166427,21166427,-,chr18
SLC14A1,43304146,43304146,+,chr18
ARRB2,4613977,4613977,+,chr17
SLC13A5,6616685,6616685,-,chr17
ZMYND15,4643100,4643100,+,chr17
WRAP53,7591795,7591795,+,chr17
MINK1,4736673,4736673,+,chr17
SAT2,7531139,7531139,-,chr17
ASGR1,7082689,7082689,-,chr17
PIK3R5,8869024,8869024,-,chr17
TP53,7590805,7590805,-,chr17
CCDC40,78010441,78010441,+,chr17
ARHGDIA,79829213,79829213,-,chr17
TMC6,76124836,76124836,-,chr17
SLC16A3,80186918,80186918,+,chr17
CARD14,78152329,78152329,+,chr17
TTYH2,72209710,72209710,+,chr17
RAB40B,80656541,80656541,-,chr17
EIF4A3,78120957,78120957,-,chr17
CSNK1D,80231307,80231307,-,chr17
ANAPC11,79849611,79849611,+,chr17
TBCD,80709941,80709941,+,chr17
FN3KRP,80674615,80674615,+,chr17
NARF,80416617,80416617,+,chr17
RPTOR,78518646,78518646,+,chr17
FOXK2,80477608,80477608,+,chr17
TRIM65,73893032,73893032,-,chr17
CBX8,77770844,77770844,-,chr17
SECTM1,80291609,80291609,-,chr17
RNF157,74236574,74236574,-,chr17
CEP131,79196765,79196765,-,chr17
ZNF750,80797898,80797898,-,chr17
WDR45B,80606320,80606320,-,chr17
CBX4,77813239,77813239,-,chr17
RNF165,43913981,43913981,+,chr18
DYM,46987008,46987008,-,chr18
MAPK4,48086464,48086464,+,chr18
ELAC1,48494410,48494410,+,chr18
MBD1,47807876,47807876,-,chr18
SMAD4,48556592,48556592,+,chr18
TNFRSF11A,59992543,59992543,+,chr18
ZCCHC2,60190266,60190266,+,chr18
FBXO15,71815069,71815069,-,chr18
CBLN2,70210789,70210789,-,chr18
PMAIP1,57567228,57567228,+,chr18
P3H4,39968196,39968196,-,chr17
NT5C3B,39992481,39992481,-,chr17
FAM134C,40761382,40761382,-,chr17
ERBB2,37856317,37856317,+,chr17
GRB7,37894605,37894605,+,chr17
MIEN1,37886785,37886785,-,chr17
PNMT,37824272,37824272,+,chr17
ARL5C,37322414,37322414,-,chr17
STAC2,37382197,37382197,-,chr17
IGFBP4,38599702,38599702,+,chr17
FKBP10,39969256,39969256,+,chr17
TXNL4A,77748563,77748563,-,chr18
CACNA1A,13617283,13617283,-,chr19
CTB-55O6.8,14184621,14184621,+,chr19
SAMD1,14201563,14201563,-,chr19
BRD4,15443287,15443287,-,chr19
SLC39A3,2740015,2740015,-,chr19
NFIC,3366582,3366582,+,chr19
TPGS1,507497,507497,+,chr19
PLPP2,291403,291403,-,chr19
ZIM3,57656570,57656570,-,chr19
PRDM15,43299443,43299443,-,chr21
PFKL,45719956,45719956,+,chr21
FEM1A,4791746,4791746,+,chr19
VAV1,6772722,6772722,+,chr19
MVB12A,17530856,17530856,+,chr19
CIB3,16284336,16284336,-,chr19
CTD-3222D19.2,16739015,16739015,-,chr19
SH3GL1,4400522,4400522,-,chr19
DUS3L,5791174,5791174,-,chr19
DPP9,4723781,4723781,-,chr19
DMRTC2,42349115,42349115,+,chr19
CCDC97,41816133,41816133,+,chr19
TMEM91,41869852,41869852,+,chr19
ZFP14,36870099,36870099,-,chr19
SIRT3,236342,236342,-,chr11
IFITM3,320847,320847,-,chr11
ATHL1,289126,289126,+,chr11
HUNK,33245339,33245339,+,chr21
COL6A1,47401684,47401684,+,chr21
IFNAR1,34697278,34697278,+,chr21
SOD1,33032006,33032006,+,chr21
COL6A2,47518037,47518037,+,chr21
SIK1,44847008,44847008,-,chr21
DNMT3L,45681780,45681780,-,chr21
TRPM2,45773506,45773506,+,chr21
SCYL1,65292569,65292569,+,chr11
TMEM50B,34852250,34852250,-,chr21
APP,27543084,27543084,-,chr21
DOPEY2,37529124,37529124,+,chr21
URB1,33765321,33765321,-,chr21
AKT1,105262085,105262085,-,chr14
IL19,207009820,207009820,+,chr1
EMP3,48828817,48828817,+,chr19
SAE1,47634146,47634146,+,chr19
NTN5,49176338,49176338,-,chr19
LMTK3,49015092,49015092,-,chr19
GEMIN7,45582518,45582518,+,chr19
CBLC,45281174,45281174,+,chr19
WTIP,34972664,34972664,+,chr19
ADAMTS10,8675567,8675567,-,chr19
SLC6A3,1445547,1445547,-,chr5
RNPEPL1,241507907,241507907,+,chr2
CAPN10,241526151,241526151,+,chr2
MYO1F,8642316,8642316,-,chr19
ERVK3-1,58816743,58816743,+,chr19
NLRP12,54327568,54327568,-,chr19
CACNG8,54466191,54466191,+,chr19
ZNF787,56632664,56632664,-,chr19
C19orf52,11039487,11039487,+,chr19
FBN3,8214445,8214445,-,chr19
CARM1,10982229,10982229,+,chr19
EVI5L,7895104,7895104,+,chr19
TM4SF5,4675181,4675181,+,chr17
SLC47A1,19437180,19437180,+,chr17
PSMB6,4699459,4699459,+,chr17
GPR32,51273721,51273721,+,chr19
SIGLEC10,51920896,51920896,-,chr19
ACPT,51293672,51293672,+,chr19
KLK3,51358177,51358177,+,chr19
ZNF473,50529277,50529277,+,chr19
FAM71E1,50979493,50979493,-,chr19
RPS11,49999700,49999700,+,chr19
PTH2,49926698,49926698,-,chr19
RPL13A,49990865,49990865,+,chr19
CTU1,51611636,51611636,-,chr19
NOSIP,50083813,50083813,-,chr19
IGLON5,51814901,51814901,+,chr19
RCN3,50031260,50031260,+,chr19
ZNF614,52531631,52531631,-,chr19
SLC2A5,9129694,9129694,-,chr1
RERE,8877699,8877699,-,chr1
MMEL1,2524329,2524329,-,chr1
CFAP74,1935225,1935225,-,chr1
PRDM16,2985767,2985767,+,chr1
CELA2A,15783227,15783227,+,chr1
PADI3,17575593,17575593,+,chr1
FHAD1,15573719,15573719,+,chr1
PADI1,17531623,17531623,+,chr1
EPHA2,16482564,16482564,-,chr1
ARHGEF19,16539147,16539147,-,chr1
EFHD2,15736449,15736449,+,chr1
PEX14,10535011,10535011,+,chr1
PGD,10459121,10459121,+,chr1
MYOM3,24438625,24438625,-,chr1
SH3BGRL3,26606590,26606590,+,chr1
CNKSR1,26503998,26503998,+,chr1
RPL11,24018296,24018296,+,chr1
IL22RA1,24469609,24469609,-,chr1
ZNF593,26496418,26496418,+,chr1
C1orf216,36184485,36184485,-,chr1
KIAA0319L,36023004,36023004,-,chr1
EVA1B,36789239,36789239,-,chr1
C1orf94,34632615,34632615,+,chr1
DMRTA2,50889115,50889115,-,chr1
PLK4,128802048,128802048,+,chr4
MAP3K6,27693450,27693450,-,chr1
FCN3,27701315,27701315,-,chr1
GPN2,27216765,27216765,-,chr1
SYTL1,27668544,27668544,+,chr1
WDTC1,27561142,27561142,+,chr1
CELA3A,22328151,22328151,+,chr1
NBPF3,21766630,21766630,+,chr1
HSPG2,22263800,22263800,-,chr1
ITGB3BP,63988896,63988896,-,chr1
SERBP1,67896085,67896085,-,chr1
BCL10,85742228,85742228,-,chr1
CYR61,86046444,86046444,+,chr1
PRKACB,84543762,84543762,+,chr1
PIGK,77685111,77685111,-,chr1
TINAGL1,32042116,32042116,+,chr1
AZIN2,33546756,33546756,+,chr1
RPS8,45240923,45240923,+,chr1
KIF2C,45205534,45205534,+,chr1
PTPRF,43996575,43996575,+,chr1
BEST4,45253842,45253842,-,chr1
MOB3C,47082563,47082563,-,chr1
CYP4B1,47264718,47264718,+,chr1
TMEM61,55446301,55446301,+,chr1
DMRTB1,53925554,53925554,+,chr1
LMO4,87794565,87794565,+,chr1
SYPL2,110009191,110009191,+,chr1
BARHL2,91182859,91182859,-,chr1
MTF2,93544840,93544840,+,chr1
SLC44A3,95285931,95285931,+,chr1
IGSF3,117210329,117210329,-,chr1
ZNF697,120190889,120190889,-,chr1
CTTNBP2NL,112938836,112938836,+,chr1
STRIP1,110577246,110577246,+,chr1
KCNA10,111061460,111061460,-,chr1
PSMA5,109969059,109969059,-,chr1
FNDC7,109255537,109255537,+,chr1
C1orf162,112016606,112016606,+,chr1
CD53,111415770,111415770,+,chr1
PROK1,110993771,110993771,+,chr1
CELSR2,109792163,109792163,+,chr1
ITGA10,145525030,145525030,+,chr1
GPR161,168106168,168106168,-,chr1
ALDH9A1,165667799,165667799,-,chr1
ATP1B1,169075928,169075928,+,chr1
TIPRL,168148200,168148200,+,chr1
NME7,169337035,169337035,-,chr1
POGK,166808716,166808716,+,chr1
MPC2,167905233,167905233,-,chr1
CREG1,167522999,167522999,-,chr1
DCAF6,167905934,167905934,+,chr1
GPA33,167059614,167059614,-,chr1
RXRG,165414363,165414363,-,chr1
TBX19,168250115,168250115,+,chr1
UCK2,165796853,165796853,+,chr1
TMCO1,165738105,165738105,-,chr1
XCL1,168545843,168545843,+,chr1
XCL2,168513235,168513235,-,chr1
POU2F1,167190128,167190128,+,chr1
MAEL,166958518,166958518,+,chr1
ILDR2,166944776,166944776,-,chr1
DPT,168698440,168698440,-,chr1
MGST3,165600500,165600500,+,chr1
ADCY10,167883362,167883362,-,chr1
RFWD2,176176380,176176380,-,chr1
PVRL4,161059348,161059348,-,chr1
UFC1,161123768,161123768,+,chr1
PPOX,161136272,161136272,+,chr1
FCGR2A,161475247,161475247,+,chr1
NUF2,163291797,163291797,+,chr1
RGS5,163172702,163172702,-,chr1
SDHC,161284171,161284171,+,chr1
PFDN2,161087827,161087827,-,chr1
NR1I3,161208026,161208026,-,chr1
USP21,161129290,161129290,+,chr1
F13B,197036390,197036390,-,chr1
PRCC,156737327,156737327,+,chr1
FCRL5,157522267,157522267,-,chr1
RRNAD1,156698261,156698261,+,chr1
MRPL24,156710880,156710880,-,chr1
PIGM,160001760,160001760,-,chr1
CASQ1,160160366,160160366,+,chr1
ISG20L2,156698237,156698237,-,chr1
CRABP2,156675375,156675375,-,chr1
HDGF,156721466,156721466,-,chr1
ABL2,179112209,179112209,-,chr1
XPR1,180601158,180601158,+,chr1
RGS16,182573524,182573524,-,chr1
TOR1AIP1,179851946,179851946,+,chr1
FAM163A,179712426,179712426,+,chr1
HMCN1,185703523,185703523,+,chr1
RGL1,183774254,183774254,+,chr1
LYPLAL1,219347220,219347220,+,chr1
LHX9,197886502,197886502,+,chr1
PRUNE,150980937,150980937,+,chr1
RORC,151804274,151804274,-,chr1
TUFT1,151512785,151512785,+,chr1
SF3B4,149899695,149899695,-,chr1
ECM1,150480585,150480585,+,chr1
ZNF687,151254775,151254775,+,chr1
TARS2,150459911,150459911,+,chr1
CGN,151483892,151483892,+,chr1
SNX27,151584526,151584526,+,chr1
SETDB1,150898848,150898848,+,chr1
ADAMTSL4,150521884,150521884,+,chr1
MCL1,150552086,150552086,-,chr1
CTSK,150780736,150780736,-,chr1
RFX5,151319724,151319724,-,chr1
PI4KB,151299876,151299876,-,chr1
PIP5K1A,151171028,151171028,+,chr1
ANP32E,150208460,150208460,-,chr1
FAM63A,150979306,150979306,-,chr1
ANXA9,150954798,150954798,+,chr1
SELENBP1,151345179,151345179,-,chr1
CERS2,150947166,150947166,-,chr1
ENSA,150602053,150602053,-,chr1
SEMA6C,151119104,151119104,-,chr1
MRPL9,151735972,151735972,-,chr1
ARNT,150849072,150849072,-,chr1
POGZ,151431920,151431920,-,chr1
C1orf56,151020227,151020227,+,chr1
OAZ3,151739166,151739166,+,chr1
HORMAD1,150693352,150693352,-,chr1
GOLPH3L,150669630,150669630,-,chr1
GABPB2,151043237,151043237,+,chr1
IKBKE,206643819,206643819,+,chr1
SYT14,210111578,210111578,+,chr1
KCNH1,211307420,211307420,-,chr1
DTL,212209135,212209135,+,chr1
DYRK3,206808881,206808881,+,chr1
EIF2D,206785817,206785817,-,chr1
INTS7,212208887,212208887,-,chr1
VASH2,213123936,213123936,+,chr1
TAF1A,222763252,222763252,-,chr1
SMYD2,214454569,214454569,+,chr1
SUSD4,223537509,223537509,-,chr1
DUSP10,221915431,221915431,-,chr1
HHIPL2,222721446,222721446,-,chr1
TP53BP2,224033649,224033649,-,chr1
ATP8B2,154298001,154298001,+,chr1
FLG2,152332482,152332482,-,chr1
CRNN,152386739,152386739,-,chr1
ADAM15,155023792,155023792,+,chr1
JTB,153950150,153950150,-,chr1
RAB13,153958815,153958815,-,chr1
S100A8,153363549,153363549,-,chr1
TPM3,154155684,154155684,-,chr1
NUP210L,154127527,154127527,-,chr1
SNAPIN,153631181,153631181,+,chr1
SLC27A3,153747883,153747883,+,chr1
S100A7,153433125,153433125,-,chr1
UBAP2L,154193434,154193434,+,chr1
SLC39A1,153936013,153936013,-,chr1
HAX1,154245117,154245117,+,chr1
CREB3L4,153940378,153940378,+,chr1
EFNA3,155051318,155051318,+,chr1
AQP10,154293571,154293571,+,chr1
KCNN3,154842757,154842757,-,chr1
C1orf43,154193052,154193052,-,chr1
GATAD2B,153895448,153895448,-,chr1
ILF2,153643463,153643463,-,chr1
RIT1,155881163,155881163,-,chr1
INTS3,153700526,153700526,+,chr1
PKLR,155271224,155271224,-,chr1
HCN3,155247262,155247262,+,chr1
FLG,152297715,152297715,-,chr1
ACTA1,229569841,229569841,-,chr1
C1orf131,231376890,231376890,-,chr1
GALNT2,230202985,230202985,+,chr1
TTC13,231114593,231114593,-,chr1
SCCPDH,246887714,246887714,+,chr1
LYST,236030203,236030203,-,chr1
RP5-862P8.2,233463482,233463482,+,chr1
CEP170,243418556,243418556,-,chr1
ACP1,264947,264947,+,chr2
SNAP47,227923136,227923136,+,chr1
SRP9,225965528,225965528,+,chr1
NVL,224517842,224517842,-,chr1
SDE2,226187044,226187044,-,chr1
DEGS1,224370942,224370942,+,chr1
FBXO28,224301821,224301821,+,chr1
ARF1,228270423,228270423,+,chr1
LEFTY2,226128920,226128920,-,chr1
CNIH4,224544589,224544589,+,chr1
ITPKB,226926979,226926979,-,chr1
GUK1,228327980,228327980,+,chr1
CDC42BPA,227506193,227506193,-,chr1
CNIH3,224804019,224804019,+,chr1
C1orf35,228291026,228291026,-,chr1
MBOAT2,9143813,9143813,-,chr2
PARP1,226595791,226595791,-,chr1
PSEN2,227058317,227058317,+,chr1
PYCR2,226111950,226111950,-,chr1
LBR,225615740,225615740,-,chr1
WNT9A,228135633,228135633,-,chr1
EPHX1,225997826,225997826,+,chr1
REN,204135465,204135465,-,chr1
SOX13,204042243,204042243,+,chr1
ETNK2,204121172,204121172,-,chr1
PPFIA4,202995650,202995650,+,chr1
PLEKHA6,204329051,204329051,-,chr1
PTPN7,202129730,202129730,-,chr1
SYT2,202679582,202679582,-,chr1
ARL8A,202113865,202113865,-,chr1
OSR1,19558384,19558384,-,chr2
GDF7,20866923,20866923,+,chr2
PDIA6,10952880,10952880,-,chr2
RHOB,20646835,20646835,+,chr2
ATP6V1C2,10861756,10861756,+,chr2
HNRNPLL,38830063,38830063,-,chr2
GALM,38893256,38893256,+,chr2
CAMKMT,44589086,44589086,+,chr2
ABCG8,44066114,44066114,+,chr2
EML4,42396493,42396493,+,chr2
CALM2,47403740,47403740,-,chr2
CHAC2,53994941,53994941,+,chr2
RPS27A,55459851,55459851,+,chr2
WDPCP,63815386,63815386,-,chr2
VPS54,64246557,64246557,-,chr2
REG3G,79252856,79252856,+,chr2
ASXL2,26101327,26101327,-,chr2
ETAA1,67624465,67624465,+,chr2
SNRPG,70520872,70520872,-,chr2
ABHD1,27346696,27346696,+,chr2
MEIS1,66662301,66662301,+,chr2
TRIM43,96257749,96257749,+,chr2
CIAO1,96931975,96931975,+,chr2
ZNF514,95831417,95831417,-,chr2
SNRNP200,96971284,96971284,-,chr2
MRPS5,95787546,95787546,-,chr2
ANKRD53,71205760,71205760,+,chr2
TPRKB,73964472,73964472,-,chr2
NAT8,73869520,73869520,-,chr2
EXOC6B,73053144,73053144,-,chr2
SFXN5,73298838,73298838,-,chr2
TEX261,71221984,71221984,-,chr2
DQX1,74753358,74753358,-,chr2
DUSP11,74007230,74007230,-,chr2
ST6GAL2,107503502,107503502,-,chr2
NPHP1,110962569,110962569,-,chr2
MALL,110873396,110873396,-,chr2
THNSL2,88469895,88469895,+,chr2
RALB,121010507,121010507,+,chr2
C1QL2,119916327,119916327,-,chr2
TMEM177,120436777,120436777,+,chr2
NT5DC4,113483725,113483725,+,chr2
RABL2A,114384849,114384849,+,chr2
SLC20A1,113403516,113403516,+,chr2
FBLN7,112895993,112895993,+,chr2
ZC3H8,113012619,113012619,-,chr2
LIPT1,99771537,99771537,+,chr2
CNGA3,98962956,98962956,+,chr2
FAHD2B,97760619,97760619,-,chr2
LYG1,99917660,99917660,-,chr2
AFF3,100759024,100759024,-,chr2
UBXN4,136499438,136499438,+,chr2
NXPH2,139537960,139537960,-,chr2
SPOPL,139259340,139259340,+,chr2
THSD7B,137523115,137523115,+,chr2
GPR17,128403728,128403728,+,chr2
POLR2D,128615704,128615704,-,chr2
AMMECR1L,128641942,128641942,-,chr2
GALNT13,154728435,154728435,+,chr2
PKP4,159313485,159313485,+,chr2
SCN1A,166984525,166984525,-,chr2
SLC4A10,162480926,162480926,+,chr2
SCRN3,175260467,175260467,+,chr2
KIAA1715,176866995,176866995,-,chr2
ZNF385B,180726047,180726047,-,chr2
TMEFF2,193059642,193059642,-,chr2
CDCA7,174219613,174219613,+,chr2
DLX1,172949516,172949516,+,chr2
UBR3,170683964,170683964,+,chr2
PHOSPHO2,170550979,170550979,+,chr2
GULP1,189157555,189157555,+,chr2
FAM171B,187558789,187558789,+,chr2
HSPD1,198364564,198364564,-,chr2
CCDC150,197504439,197504439,+,chr2
METTL21A,208489985,208489985,-,chr2
UNC80,210636733,210636733,+,chr2
PTH2R,209224429,209224429,+,chr2
CPO,207804242,207804242,+,chr2
NBEAL1,203879602,203879602,+,chr2
KANSL1L,211036107,211036107,-,chr2
SPAG16,214149204,214149204,+,chr2
ABCA12,216003349,216003349,-,chr2
SUMF1,4508937,4508937,-,chr3
NYAP2,226265176,226265176,+,chr2
RHBDD1,227700770,227700770,+,chr2
ACKR3,237478468,237478468,+,chr2
TRPM8,234826022,234826022,+,chr2
HES6,239148679,239148679,-,chr2
ESPNL,239008996,239008996,+,chr2
ANKMY1,241500457,241500457,-,chr2
COPS7B,232651155,232651155,+,chr2
DIS3L2,232826423,232826423,+,chr2
CPNE9,9745517,9745517,+,chr3
FANCD2,10068124,10068124,+,chr3
TAMM41,11888357,11888357,-,chr3
VGLL4,11685389,11685389,-,chr3
RAB5A,19988636,19988636,+,chr3
FAM134A,220042997,220042997,+,chr2
CTDSP1,219264593,219264593,+,chr2
RQCD1,219433562,219433562,+,chr2
4-Mar,217236872,217236872,-,chr2
STK11IP,220462590,220462590,+,chr2
GMPPA,220363623,220363623,+,chr2
GRIP2,14581844,14581844,-,chr3
EAF1,15469105,15469105,+,chr3
CNTN4,2140550,2140550,+,chr3
DYNC1LI1,32612350,32612350,-,chr3
RBMS3,29322562,29322562,+,chr3
GADL1,30936298,30936298,-,chr3
OSBPL10,32022754,32022754,-,chr3
POMGNT2,43147567,43147567,-,chr3
ACKR2,42846155,42846155,+,chr3
FAM198A,43020832,43020832,+,chr3
CSRNP1,39195082,39195082,-,chr3
SLC25A38,39424861,39424861,+,chr3
ITGA9,37493632,37493632,+,chr3
SLC22A14,38323785,38323785,+,chr3
GOLGA4,37284762,37284762,+,chr3
CTDSPL,37903371,37903371,+,chr3
STAC,36421998,36421998,+,chr3
IQSEC1,13009230,13009230,-,chr3
CAND2,12838181,12838181,+,chr3
RPL32,12883045,12883045,-,chr3
PTPRG,61547245,61547245,+,chr3
IL17RD,57199381,57199381,-,chr3
SHQ1,72897591,72897591,-,chr3
SLC25A26,66271427,66271427,+,chr3
UBA3,69129516,69129516,-,chr3
ARL6IP5,69134174,69134174,+,chr3
TMF1,69101425,69101425,-,chr3
LRIG1,66551446,66551446,-,chr3
LRTM1,54962086,54962086,-,chr3
LIMD1,45635607,45635607,+,chr3
ZNF660,44626460,44626460,+,chr3
NFKBIZ,101568358,101568358,+,chr3
COL8A1,99357438,99357438,+,chr3
NXPE3,101498055,101498055,+,chr3
ADGRG7,100328445,100328445,+,chr3
MYH15,108248169,108248169,-,chr3
PHLDB2,111578691,111578691,+,chr3
ABHD10,111697881,111697881,+,chr3
TAGLN3,111718180,111718180,+,chr3
PLA1A,119316732,119316732,+,chr3
RABL3,120461363,120461363,-,chr3
ADPRH,119298607,119298607,+,chr3
IGSF11,118753693,118753693,-,chr3
ATG3,112280782,112280782,-,chr3
NR1I2,119500948,119500948,+,chr3
BOC,112930408,112930408,+,chr3
SRPRB,133524689,133524689,+,chr3
TMEM108,132757235,132757235,+,chr3
AGTR1,148415571,148415571,+,chr3
MED12L,150803457,150803457,+,chr3
EIF2A,150264574,150264574,+,chr3
ALDH1L1,125899426,125899426,-,chr3
OSBPL11,125314341,125314341,-,chr3
TRPC1,142442910,142442910,+,chr3
NCEH1,172428855,172428855,-,chr3
SPATA16,172858988,172858988,-,chr3
FAM86B2,12293852,12293852,-,chr8
LPP,187871719,187871719,+,chr3
TMEM44,194354148,194354148,-,chr3
RUBCN,197463773,197463773,-,chr3
AMT,49459893,49459893,-,chr3
TCTA,49449856,49449856,+,chr3
NICN1,49466743,49466743,-,chr3
UCN2,48601214,48601214,-,chr3
VPRBP,51534000,51534000,-,chr3
MANF,51422722,51422722,+,chr3
AC062028.1,11272380,11272380,-,chr2
CCDC39,180588307,180588307,-,chr3
STXBP5L,120627072,120627072,+,chr3
EAF2,121554071,121554071,+,chr3
ILDR1,121741094,121741094,-,chr3
TM4SF19,196065259,196065259,-,chr3
MUC4,195538800,195538800,-,chr3
SLIT2,20254513,20254513,+,chr4
EIF2B5,183853170,183853170,+,chr3
AHSG,186330851,186330851,+,chr3
ECE2,183967460,183967460,+,chr3
VWA5B2,183948167,183948167,+,chr3
DGKQ,967353,967353,-,chr4
FIP1L1,54243810,54243810,+,chr4
SLC26A1,987192,987192,-,chr4
LYAR,4291873,4291873,-,chr4
CENPC,68411221,68411221,-,chr4
EPHA5,66536181,66536181,-,chr4
CORIN,47840083,47840083,-,chr4
ATP10D,47487345,47487345,+,chr4
OCIAD2,48908791,48908791,-,chr4
SLC10A4,48485372,48485372,+,chr4
SLC10A6,87770537,87770537,-,chr4
SCD5,83719925,83719925,-,chr4
PLAC8,84035882,84035882,-,chr4
ENOPH1,83351764,83351764,+,chr4
CABS1,71200698,71200698,+,chr4
GC,72649796,72649796,-,chr4
TRMT10A,100484880,100484880,-,chr4
KLHL8,88141688,88141688,-,chr4
SNCA,90758312,90758312,-,chr4
TBCK,107237359,107237359,-,chr4
CAMK2D,114682890,114682890,-,chr4
CISD2,103790149,103790149,+,chr4
DDIT4L,101111625,101111625,-,chr4
ANK2,113739307,113739307,+,chr4
TIFA,113207060,113207060,-,chr4
SPATA5,123844256,123844256,+,chr4
FABP2,120243293,120243293,-,chr4
CCNA2,122745038,122745038,-,chr4
METTL14,119606548,119606548,+,chr4
USP53,120133868,120133868,+,chr4
SETD7,140477373,140477373,-,chr4
NAF1,164088038,164088038,-,chr4
1-Mar,220960255,220960255,+,chr1
SFRP2,154710235,154710235,-,chr4
RPS3A,152020780,152020780,+,chr4
RNF175,154681176,154681176,-,chr4
PDGFC,157892951,157892951,-,chr4
CBR4,169931406,169931406,-,chr4
GLRA3,175750398,175750398,-,chr4
CYP4V2,187112725,187112725,+,chr4
ROPN1L,10442023,10442023,+,chr5
NDUFS6,1801521,1801521,+,chr5
6-Mar,10353828,10353828,+,chr5
NKD2,1008917,1008917,+,chr5
CDH18,19988309,19988309,-,chr5
ADAMTS16,5140443,5140443,+,chr5
SRD5A1,6633554,6633554,+,chr5
MYO10,16936374,16936374,-,chr5
FAM105A,14581950,14581950,+,chr5
RPL37,40835324,40835324,-,chr5
SKP2,36152213,36152213,+,chr5
OSMR,38846149,38846149,+,chr5
UGT3A1,35991465,35991465,-,chr5
PLK2,57755913,57755913,-,chr5
FAM159B,63986330,63986330,+,chr5
GZMA,54398474,54398474,+,chr5
PIK3R1,67511590,67511590,+,chr5
HAPLN1,83016674,83016674,-,chr5
LHFPL2,77944595,77944595,-,chr5
SSBP2,81046867,81046867,-,chr5
BHMT,78407633,78407633,+,chr5
ANKRD31,74532703,74532703,-,chr5
IQGAP2,75699110,75699110,+,chr5
CRHBP,76248870,76248870,+,chr5
RASA1,86563700,86563700,+,chr5
LIX1,96478315,96478315,-,chr5
GIN1,102455842,102455842,-,chr5
PPIP5K2,102456064,102456064,+,chr5
PAM,102091009,102091009,+,chr5
BDP1,70751480,70751480,+,chr5
GTF2H2,70363516,70363516,-,chr5
SLC30A5,68389886,68389886,+,chr5
BTF3,72794268,72794268,+,chr5
FBXL17,107717111,107717111,-,chr5
SPATA9,95018695,95018695,-,chr5
TSLP,110409072,110409072,+,chr5
TNFAIP8,118604460,118604460,+,chr5
FEM1C,114880472,114880472,-,chr5
COMMD10,115420722,115420722,+,chr5
ATG12,115177262,115177262,-,chr5
MEGF10,126626536,126626536,+,chr5
ADAMTS19,128795991,128795991,+,chr5
YIPF5,143550216,143550216,-,chr5
ARHGAP26,142149972,142149972,+,chr5
CXCL14,134914681,134914681,-,chr5
